states,avg_student_rate,individualized_education_programs
alabama,96,81216
alaska,81.85714286,18048
arizona,89.05263158,125806
arkansas,93.28571429,64883
california,90.0326087,662508
colorado,77,84710
connecticut,88.42857143,68130
delaware,89.5,18608
district of columbia,86.6,11947
florida,93.04225352,366824
georgia,91.84615385,177536
hawaii,91.33333333,19716
idaho,79.33333333,27365
illinois,83.4,303092
indiana,89.14285714,165802
iowa,93.33333333,68498
kansas,93.16666667,66851
kentucky,85,102370
louisiana,88.5,82934
maine,92.16666667,29502
maryland,91.09090909,102818
massachusetts,92.16666667,167323
michigan,81.42857143,217213
minnesota,89.10526316,122850
mississippi,94,63786
missouri,86.53125,127148
montana,80.66666667,16760
nebraska,92.85714286,44299
nevada,98.1,48078
new hampshire,93.85714286,29778
new jersey,91,225471
new mexico,94.55555556,46612
new york,73.44,452551
north carolina,88.25,184704
north dakota,,13097
ohio,91.37142857,259448
oklahoma,90.6,97247
oregon,87.16666667,80283
pennsylvania,78.19298246,295077
rhode island,86,25332
south carolina,90.42105263,100262
south dakota,95.5,18026
tennessee,89.83333333,119004
texas,86.29166667,441987
utah,91.57142857,70232
vermont,94.6,13562
virginia,82.44444444,162338
washington,85.33333333,127909
west virginia,95.6,44924
wisconsin,51.36363636,124721
wyoming,90.33333333,15231
