states,avg_student_rate,reduced_lunch_eligible
alabama,96,45457
alaska,81.85714286,8673
arizona,89.05263158,107139
arkansas,93.28571429,45157
california,90.0326087,487302
colorado,77,57166
connecticut,88.42857143,27731
delaware,89.5,7507
district of columbia,86.6,5000
florida,93.04225352,192519
georgia,91.84615385,111793
hawaii,91.33333333,18833
idaho,79.33333333,24547
illinois,83.4,109556
indiana,89.14285714,80683
iowa,93.33333333,38509
kansas,93.16666667,48921
kentucky,85,50876
louisiana,88.5,47862
maine,92.16666667,12457
maryland,91.09090909,56516
massachusetts,92.16666667,48930
michigan,81.42857143,83420
minnesota,89.10526316,66915
mississippi,94,36153
missouri,86.53125,63643
montana,80.66666667,11720
nebraska,92.85714286,26551
nevada,98.1,29049
new hampshire,93.85714286,10245
new jersey,91,74205
new mexico,94.55555556,20663
new york,73.44,192524
north carolina,88.25,114538
north dakota,,6941
ohio,91.37142857,98137
oklahoma,90.6,61381
oregon,87.16666667,39463
pennsylvania,78.19298246,102390
rhode island,86,8288
south carolina,90.42105263,44831
south dakota,95.5,10144
tennessee,89.83333333,71470
texas,86.29166667,322654
utah,91.57142857,43760
vermont,94.6,5582
virginia,82.44444444,74135
washington,85.33333333,72683
west virginia,95.6,21494
wisconsin,51.36363636,52901
wyoming,90.33333333,8752
