states,avg_teacher_rate,reduced_lunch_eligible
alabama,93.38461538,45457
alaska,91,8673
arizona,93.68421053,107139
arkansas,89,45157
california,89.85869565,487302
colorado,76.80952381,57166
connecticut,87.85714286,27731
delaware,,7507
district of columbia,89.8,5000
florida,92.76056338,192519
georgia,93.88461538,111793
hawaii,91.33333333,18833
idaho,80,24547
illinois,84.8,109556
indiana,94.85714286,80683
iowa,92.66666667,38509
kansas,92.66666667,48921
kentucky,,50876
louisiana,93.5,47862
maine,96.16666667,12457
maryland,89.90909091,56516
massachusetts,,48930
michigan,85.92857143,83420
minnesota,95.26315789,66915
mississippi,90,36153
missouri,87.15625,63643
montana,89,11720
nebraska,93.57142857,26551
nevada,98.9,29049
new hampshire,89.57142857,10245
new jersey,95.1,74205
new mexico,95.55555556,20663
new york,50.2,192524
north carolina,,114538
north dakota,,6941
ohio,90.68571429,98137
oklahoma,93.6,61381
oregon,95.08333333,39463
pennsylvania,83.03508772,102390
rhode island,,8288
south carolina,88.94736842,44831
south dakota,92.5,10144
tennessee,95.75,71470
texas,92.60416667,322654
utah,96.57142857,43760
vermont,94.6,5582
virginia,83.83333333,74135
washington,88.38888889,72683
west virginia,92.2,21494
wisconsin,57.90909091,52901
wyoming,,8752
