states,avg_student_rate,state_funding_per_pupil
alabama,96,"9,236 "
alaska,81.85714286,"17,510 "
arizona,89.05263158,"7,613 "
arkansas,93.28571429,"9,846 "
california,90.0326087,"11,495 "
colorado,77,"9,575 "
connecticut,88.42857143,"18,958 "
delaware,89.5,"14,713 "
district of columbia,86.6,"19,159 "
florida,93.04225352,"8,920 "
georgia,91.84615385,"9,769 "
hawaii,91.33333333,"13,748 "
idaho,79.33333333,"7,157 "
illinois,83.4,"14,180 "
indiana,89.14285714,"9,856 "
iowa,93.33333333,"11,150 "
kansas,93.16666667,"9,960 "
kentucky,85,"9,863 "
louisiana,88.5,"11,038 "
maine,92.16666667,"13,278 "
maryland,91.09090909,"14,206 "
massachusetts,92.16666667,"15,593 "
michigan,81.42857143,"11,668 "
minnesota,89.10526316,"12,382 "
mississippi,94,"8,702 "
missouri,86.53125,"10,313 "
montana,80.66666667,"11,348 "
nebraska,92.85714286,"12,299 "
nevada,98.1,"8,960 "
new hampshire,93.85714286,"15,340 "
new jersey,91,"18,402 "
new mexico,94.55555556,"9,693 "
new york,73.44,"22,366 "
north carolina,88.25,"8,792 "
north dakota,,"13,373 "
ohio,91.37142857,"12,102 "
oklahoma,90.6,"8,097 "
oregon,87.16666667,"10,842 "
pennsylvania,78.19298246,"15,418 "
rhode island,86,"15,532 "
south carolina,90.42105263,"10,249 "
south dakota,95.5,"9,176 "
tennessee,89.83333333,"8,810 "
texas,86.29166667,"9,016 "
utah,91.57142857,"11,762 "
vermont,94.6,"6,953 "
virginia,82.44444444,"17,873 "
washington,85.33333333,"11,432 "
west virginia,95.6,"11,534 "
wisconsin,51.36363636,"11,291 "
wyoming,90.33333333,"11,456 "
