states,avg_student_rate,student_teacher_ratio
alabama,96,15.31
alaska,81.85714286,16.17
arizona,89.05263158,21.42
arkansas,93.28571429,14.07
california,90.0326087,24.12
colorado,77,17.37
connecticut,88.42857143,13.05
delaware,89.5,14.49
district of columbia,86.6,12.03
florida,93.04225352,15.05
georgia,91.84615385,14.91
hawaii,91.33333333,15.76
idaho,79.33333333,17.6
illinois,83.4,15.73
indiana,89.14285714,18.02
iowa,93.33333333,14.31
kansas,93.16666667,13.96
kentucky,85,16.01
louisiana,88.5,14.32
maine,92.16666667,12.29
maryland,91.09090909,14.59
massachusetts,92.16666667,13.9
michigan,81.42857143,17.91
minnesota,89.10526316,15.91
mississippi,94,15.21
missouri,86.53125,13.77
montana,80.66666667,13.68
nebraska,92.85714286,13.36
nevada,98.1,20.02
new hampshire,93.85714286,12.67
new jersey,91,12.73
new mexico,94.55555556,15.07
new york,73.44,12.92
north carolina,88.25,15.15
north dakota,,11.44
ohio,91.37142857,16.05
oklahoma,90.6,15.99
oregon,87.16666667,20.3
pennsylvania,78.19298246,13.8
rhode island,86,12.83
south carolina,90.42105263,16.05
south dakota,95.5,13.26
tennessee,89.83333333,14.84
texas,86.29166667,14.73
utah,91.57142857,22.8
vermont,94.6,11.56
virginia,82.44444444,17.64
washington,85.33333333,19.35
west virginia,95.6,13.91
wisconsin,51.36363636,15.14
wyoming,90.33333333,12.49
