states,avg_teacher_rate,student_teacher_ratio
alabama,93.38461538,15.31
alaska,91,16.17
arizona,93.68421053,21.42
arkansas,89,14.07
california,89.85869565,24.12
colorado,76.80952381,17.37
connecticut,87.85714286,13.05
delaware,,14.49
district of columbia,89.8,12.03
florida,92.76056338,15.05
georgia,93.88461538,14.91
hawaii,91.33333333,15.76
idaho,80,17.6
illinois,84.8,15.73
indiana,94.85714286,18.02
iowa,92.66666667,14.31
kansas,92.66666667,13.96
kentucky,,16.01
louisiana,93.5,14.32
maine,96.16666667,12.29
maryland,89.90909091,14.59
massachusetts,,13.9
michigan,85.92857143,17.91
minnesota,95.26315789,15.91
mississippi,90,15.21
missouri,87.15625,13.77
montana,89,13.68
nebraska,93.57142857,13.36
nevada,98.9,20.02
new hampshire,89.57142857,12.67
new jersey,95.1,12.73
new mexico,95.55555556,15.07
new york,50.2,12.92
north carolina,,15.15
north dakota,,11.44
ohio,90.68571429,16.05
oklahoma,93.6,15.99
oregon,95.08333333,20.3
pennsylvania,83.03508772,13.8
rhode island,,12.83
south carolina,88.94736842,16.05
south dakota,92.5,13.26
tennessee,95.75,14.84
texas,92.60416667,14.73
utah,96.57142857,22.8
vermont,94.6,11.56
virginia,83.83333333,17.64
washington,88.38888889,19.35
west virginia,92.2,13.91
wisconsin,57.90909091,15.14
wyoming,,12.49
